Ad Group - Shopee Indonesia
Username,japarutomo
Nama Toko,Japarutomo
ID Toko,195741061
Waktu Laporan Dibuat,16/07/2026 00:35
Periode,01/06/2026 - 30/06/2026

Urutan,Nama Iklan/Produk,Status,Jenis Iklan,Kode Produk,Mode Bidding,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Voucher Amount,Vouchered Sales
11,knop kancingan screen port bukaan tangan kasa nyamuk,-,Iklan Produk,7354593380,-,-,-,542,32,5.90%,1,1,3.12%,3.12%,3468.32,3468.32,4,4,28000,28000,3468,8.07,8.07,12.39%,12.39%,2111,57998
12,List pvc dan sudut tanpa kasa nyamuk tanpa magnet,-,Iklan Produk,7433192248,-,-,-,3533,177,5.01%,12,3,6.78%,1.69%,2888.82,11555.28,42,3,518696,106500,34666,14.96,3.07,6.68%,32.55%,0,0
13,Kasa nyamuk stainless steel lebar 90 cm,-,Iklan Produk,7717226448,-,-,-,509,18,3.54%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2276,0.00,0.00,0.00%,0.00%,0,0
14,magnet sheet a4 (21x30 cm),-,Iklan Produk,8803433747,-,-,-,12938,580,4.48%,25,25,4.31%,4.31%,5558.14,5558.14,63,63,1382000,1382000,138953,9.95,9.95,10.05%,10.05%,0,0
15,magnet sheet flexible,-,Iklan Produk,9102874592,-,-,-,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,0,0
16,rubber white board bisa ditempel magnet,-,Iklan Produk,9503325848,-,-,-,6355,217,3.41%,6,6,2.76%,2.76%,23314.54,23314.54,16,16,2000000,2000000,139887,14.30,14.30,6.99%,6.99%,36256,500000
17,magnet strip 3M lebar 10 mm,-,Iklan Produk,10001224131,-,-,-,8547,357,4.18%,25,23,7.00%,6.44%,3233.32,3514.48,63,58,1072000,928000,80833,13.26,11.48,7.54%,8.71%,13886,86264
18,Rubber white board 60 x 90 cm,-,Iklan Produk,23629279101,-,-,-,797,42,5.27%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,7476,0.00,0.00,0.00%,0.00%,0,0
19,kasa nyamuk lubang kecil 1 roll @10 meter,-,Iklan Produk,25007384072,-,-,-,349,6,1.72%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,8490,0.00,0.00,0.00%,0.00%,0,0
20,Grup Hero,Berjalan,Iklan Produk,-,GMV Max ROAS,23/06/2026 00:00:00,Tidak Terbatas,41155,1777,4.32%,58,39,3.26%,2.19%,8758.42,13025.35,312,216,6165695,4700190,507989,12.14,9.25,8.24%,10.81%,87665,501254
21,magnet a b untuk kasa nyamuk magnet,-,Iklan Produk,3244424806,-,-,-,24222,1091,4.50%,33,23,3.02%,2.11%,11684.95,16765.36,230,178,4796398,3898200,385603,12.44,10.11,8.04%,9.89%,62974,262800
22,list pvc kasa nyamuk magnet,-,Iklan Produk,3355766149,-,-,-,4061,146,3.60%,10,9,6.85%,6.16%,5518.31,6131.45,33,25,865612,687500,55183,15.69,12.46,6.38%,8.03%,12375,82500
23,rubber white board ukuran A5 (15x21 cm),-,Iklan Produk,3479549023,-,-,-,493,18,3.65%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1422,0.00,0.00,0.00%,0.00%,0,0
24,spare part pembuka kasa nyamuk magnet,-,Iklan Produk,4261773863,-,-,-,459,33,7.19%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,837,0.00,0.00,0.00%,0.00%,1105,22264
25,lis aluminum kasa nyamuk,-,Iklan Produk,5757821150,-,-,-,1356,109,8.04%,3,1,2.75%,0.92%,2429.84,7289.52,17,1,56000,8000,7290,7.68,1.10,13.02%,91.12%,4943,65700
26,magnet sheet ukuran A5 (15 x 21cm),-,Iklan Produk,5970279177,-,-,-,501,8,1.60%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2661,0.00,0.00,0.00%,0.00%,0,0
27,knop pengunci screen port,-,Iklan Produk,6149995732,-,-,-,376,2,0.53%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,217,0.00,0.00,0.00%,0.00%,0,0
28,Kunci plastik pintu kamar mandi,-,Iklan Produk,7232853149,-,-,-,663,20,3.02%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2971,0.00,0.00,0.00%,0.00%,0,0
29,Magnet flexible 13 x 2 mm,-,Iklan Produk,7830431697,-,-,-,1263,54,4.28%,1,1,1.85%,1.85%,8583.80,8583.80,1,1,21500,21500,8584,2.50,2.50,39.92%,39.92%,0,0
30,magnet sheet hitam 9 x10 cm,-,Iklan Produk,9815369777,-,-,-,3070,132,4.30%,6,4,4.55%,3.03%,3101.65,4652.48,16,10,155990,59990,18610,8.38,3.22,11.93%,31.02%,4268,59990
31,lis kaca pintu PVC,-,Iklan Produk,9859158383,-,-,-,668,14,2.10%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,212,0.00,0.00,0.00%,0.00%,0,0
32,lis kaca wajik pintu PVC,-,Iklan Produk,13257838375,-,-,-,178,1,0.56%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,57,0.00,0.00,0.00%,0.00%,0,0
33,Lis kaca oval pintu PVC,-,Iklan Produk,13358425112,-,-,-,546,14,2.56%,1,1,7.14%,7.14%,2636.80,2636.80,1,1,25000,25000,2637,9.48,9.48,10.55%,10.55%,0,0
34,ornamen hiasan tempel furniture,-,Iklan Produk,14025672175,-,-,-,199,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,14,0.00,0.00,0.00%,0.00%,0,0
35,braket kawat nyamuk magnet,-,Iklan Produk,14061005314,-,-,-,1443,100,6.93%,4,0,4.00%,0.00%,4739.40,0.00,14,0,245195,0,18958,12.93,0.00,7.73%,0.00%,2000,8000
36,kasa parabola 1 roll panjang 25 meter,-,Iklan Produk,24707351402,-,-,-,128,1,0.78%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1310,0.00,0.00,0.00%,0.00%,0,0
37,"foto tempel magnet tebal 0,5 mm",-,Iklan Produk,25588667946,-,-,-,326,3,0.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,69,0.00,0.00,0.00%,0.00%,0,0
38,"foto magnet tempel tebal 0,5mm",-,Iklan Produk,26168662583,-,-,-,232,4,1.72%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,241,0.00,0.00,0.00%,0.00%,0,0
39,"foto magnet tempel tebal 0,5 mm",-,Iklan Produk,27268399667,-,-,-,505,18,3.56%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,781,0.00,0.00,0.00%,0.00%,0,0
40,knop kancingan screen port bentuk oval,-,Iklan Produk,48355410993,-,-,-,466,9,1.93%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,332,0.00,0.00,0.00%,0.00%,0,0
41,Low Konversi,Berjalan,Iklan Produk,-,GMV Max ROAS,18/06/2026 00:00:00,Tidak Terbatas,1487,40,2.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,25839,0.00,0.00,0.00%,0.00%,7094,35500
42,kasa nyamuk warna natural aluminum,-,Iklan Produk,3955568935,-,-,-,444,5,1.13%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,954,0.00,0.00,0.00%,0.00%,0,0
43,Bahan kasa nyamuk magnet,-,Iklan Produk,5947087373,-,-,-,1043,35,3.36%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,24884,0.00,0.00,0.00%,0.00%,7094,35500
